2018_rank,city            ,state               ,2018_population_est,location               ,state_abbrev,latitude          ,longitude
157      ,Fort Collins    ,Colorado            ,167830             ,40.5482°N 105.0648°W   ,CO          ,40.5482           ,-105.0648
158      ,Jackson         ,Mississippi         ,164422             ,32.3158°N 90.2128°W    ,MS          ,32.3158           ,-90.2128
159      ,Alexandria      ,Virginia            ,160530             ,38.8201°N 77.0841°W    ,VA          ,38.8201           ,-77.0841
160      ,Hayward         ,California          ,159620             ,37.6287°N 122.1024°W   ,CA          ,37.6287           ,-122.1024
161      ,Lancaster       ,California          ,159053             ,34.6936°N 118.1753°W   ,CA          ,34.6936           ,-118.1753
162      ,Lakewood        ,Colorado            ,156798             ,39.6989°N 105.1176°W   ,CO          ,39.6989           ,-105.1176
163      ,Clarksville     ,Tennessee           ,156794             ,36.5664°N 87.3452°W    ,TN          ,36.5664           ,-87.3452
164      ,Palmdale        ,California          ,156667             ,34.5910°N 118.1054°W   ,CA          ,34.591            ,-118.1054
165      ,Salinas         ,California          ,156259             ,36.6902°N 121.6337°W   ,CA          ,36.6902           ,-121.6337
166      ,Springfield     ,Massachusetts       ,155032             ,42.1155°N 72.5400°W    ,MA          ,42.1155           ,-72.54
167      ,Hollywood       ,Florida             ,154823             ,26.0310°N 80.1646°W    ,FL          ,26.031            ,-80.1646
168      ,Pasadena        ,Texas               ,153219             ,29.6586°N 95.1506°W    ,TX          ,29.6586           ,-95.1506
169      ,Sunnyvale       ,California          ,153185             ,37.3858°N 122.0263°W   ,CA          ,37.3858           ,-122.0263
170      ,Macon           ,Georgia             ,153095             ,32.8088°N 83.6942°W    ,GA          ,32.8088           ,-83.6942
171      ,Kansas City     ,Kansas              ,152958             ,39.1225°N 94.7418°W    ,KS          ,39.1225           ,-94.7418
172      ,Pomona          ,California          ,152361             ,34.0585°N 117.7611°W   ,CA          ,34.0585           ,-117.7611
173      ,Escondido       ,California          ,152213             ,33.1331°N 117.0740°W   ,CA          ,33.1331           ,-117.074
174      ,Killeen         ,Texas               ,149103             ,31.0777°N 97.7320°W    ,TX          ,31.0777           ,-97.73200000000001
175      ,Naperville      ,Illinois            ,148304             ,41.7492°N 88.1620°W    ,IL          ,41.7492           ,-88.162
176      ,Joliet          ,Illinois            ,148099             ,41.5177°N 88.1488°W    ,IL          ,41.5177           ,-88.1488
177      ,Bellevue        ,Washington          ,147599             ,47.5979°N 122.1565°W   ,WA          ,47.5979           ,-122.1565
178      ,Rockford        ,Illinois            ,146526             ,42.2588°N 89.0646°W    ,IL          ,42.2588           ,-89.0646
179      ,Savannah        ,Georgia             ,145862             ,32.0025°N 81.1536°W    ,GA          ,32.0025           ,-81.1536
180      ,Paterson        ,New Jersey          ,145627             ,40.9148°N 74.1628°W    ,NJ          ,40.9148           ,-74.1628
181      ,Torrance        ,California          ,145182             ,33.8350°N 118.3414°W   ,CA          ,33.835            ,-118.3414
182      ,Bridgeport      ,Connecticut         ,144900             ,41.1874°N 73.1958°W    ,CT          ,41.1874           ,-73.1958
183      ,McAllen         ,Texas               ,143433             ,26.2322°N 98.2464°W    ,TX          ,26.2322           ,-98.2464
184      ,Mesquite        ,Texas               ,142816             ,32.7629°N 96.5888°W    ,TX          ,32.7629           ,-96.5888
185      ,Syracuse        ,New York            ,142749             ,43.0410°N 76.1436°W    ,NY          ,43.041000000000004,-76.1436
186      ,Midland         ,Texas               ,142344             ,32.0246°N 102.1135°W   ,TX          ,32.0246           ,-102.1135
187      ,Pasadena        ,California          ,141371             ,34.1606°N 118.1396°W   ,CA          ,34.1606           ,-118.1396
188      ,Murfreesboro    ,Tennessee           ,141344             ,35.8522°N 86.4160°W    ,TN          ,35.8522           ,-86.416
189      ,Miramar         ,Florida             ,140823             ,25.9770°N 80.3358°W    ,FL          ,25.976999999999997,-80.3358
190      ,Dayton          ,Ohio                ,140640             ,39.7774°N 84.1996°W    ,OH          ,39.7774           ,-84.1996
191      ,Fullerton       ,California          ,139640             ,33.8857°N 117.9280°W   ,CA          ,33.8857           ,-117.928
192      ,Olathe          ,Kansas              ,139605             ,38.8843°N 94.8195°W    ,KS          ,38.8843           ,-94.8195
193      ,Orange          ,California          ,139484             ,33.7870°N 117.8613°W   ,CA          ,33.787            ,-117.8613
194      ,Thornton        ,Colorado            ,139436             ,39.9194°N 104.9428°W   ,CO          ,39.9194           ,-104.9428
195      ,Roseville       ,California          ,139117             ,38.7690°N 121.3189°W   ,CA          ,38.769            ,-121.3189
196      ,Denton          ,Texas               ,138541             ,33.2166°N 97.1414°W    ,TX          ,33.2166           ,-97.1414
197      ,Waco            ,Texas               ,138183             ,31.5601°N 97.1860°W    ,TX          ,31.5601           ,-97.186
198      ,Surprise        ,Arizona             ,138161             ,33.6706°N 112.4527°W   ,AZ          ,33.6706           ,-112.4527
199      ,Carrollton      ,Texas               ,136879             ,32.9884°N 96.8998°W    ,TX          ,32.9884           ,-96.8998
200      ,West Valley City,Utah                ,136401             ,40.6885°N 112.0118°W   ,UT          ,40.6885           ,-112.0118
201      ,Charleston      ,South Carolina      ,136208             ,32.8179°N 79.9590°W    ,SC          ,32.8179           ,-79.959
202      ,Warren          ,Michigan            ,134587             ,42.4929°N 83.0250°W    ,MI          ,42.4929           ,-83.025
203      ,Hampton         ,Virginia            ,134313             ,37.0480°N 76.2971°W    ,VA          ,37.048            ,-76.2971
204      ,Gainesville     ,Florida             ,133857             ,29.6788°N 82.3461°W    ,FL          ,29.6788           ,-82.3461
205      ,Visalia         ,California          ,133800             ,36.3273°N 119.3289°W   ,CA          ,36.3273           ,-119.3289
206      ,Coral Springs   ,Florida             ,133507             ,26.2707°N 80.2593°W    ,FL          ,26.2707           ,-80.2593
207      ,Columbia        ,South Carolina      ,133451             ,34.0291°N 80.8980°W    ,SC          ,34.0291           ,-80.898
208      ,Cedar Rapids    ,Iowa                ,133174             ,41.9670°N 91.6778°W    ,IA          ,41.967            ,-91.6778
209      ,Sterling Heights,Michigan            ,132964             ,42.5812°N 83.0303°W    ,MI          ,42.5812           ,-83.0303
210      ,New Haven       ,Connecticut         ,130418             ,41.3108°N 72.9250°W    ,CT          ,41.3108           ,-72.925
211      ,Stamford        ,Connecticut         ,129775             ,41.0799°N 73.5460°W    ,CT          ,41.0799           ,-73.546
212      ,Concord         ,California          ,129688             ,37.9722°N 122.0016°W   ,CA          ,37.9722           ,-122.0016
213      ,Kent            ,Washington          ,129618             ,47.3880°N 122.2127°W   ,WA          ,47.388000000000005,-122.2127
214      ,Santa Clara     ,California          ,129488             ,37.3646°N 121.9679°W   ,CA          ,37.3646           ,-121.9679
215      ,Elizabeth       ,New Jersey          ,128885             ,40.6664°N 74.1935°W    ,NJ          ,40.6664           ,-74.1935
216      ,Round Rock      ,Texas               ,128739             ,30.5252°N 97.6660°W    ,TX          ,30.5252           ,-97.666
217      ,Thousand Oaks   ,California          ,127690             ,34.1933°N 118.8742°W   ,CA          ,34.1933           ,-118.8742
218      ,Lafayette       ,Louisiana           ,126143             ,30.2074°N 92.0285°W    ,LA          ,30.2074           ,-92.0285
219      ,Athens          ,Georgia             ,125964             ,33.9496°N 83.3701°W    ,GA          ,33.9496           ,-83.3701
220      ,Topeka          ,Kansas              ,125904             ,39.0347°N 95.6962°W    ,KS          ,39.0347           ,-95.6962
221      ,Simi Valley     ,California          ,125851             ,34.2669°N 118.7485°W   ,CA          ,34.2669           ,-118.7485
222      ,Fargo           ,North Dakota        ,124844             ,46.8652°N 96.8290°W    ,ND          ,46.8652           ,-96.829
223      ,Norman          ,Oklahoma            ,123471             ,35.2406°N 97.3453°W    ,OK          ,35.2406           ,-97.3453
224      ,Columbia        ,Missouri            ,123180             ,38.951561°N 92.328638°W,MO          ,38.951561         ,-92.328638
225      ,Abilene         ,Texas               ,122999             ,32.4545°N 99.7381°W    ,TX          ,32.4545           ,-99.7381
226      ,Wilmington      ,North Carolina      ,122607             ,34.2092°N 77.8858°W    ,NC          ,34.2092           ,-77.8858
227      ,Hartford        ,Connecticut         ,122587             ,41.7659°N 72.6816°W    ,CT          ,41.7659           ,-72.6816
228      ,Victorville     ,California          ,122312             ,34.5277°N 117.3536°W   ,CA          ,34.5277           ,-117.3536
229      ,Pearland        ,Texas               ,122149             ,29.5558°N 95.3231°W    ,TX          ,29.5558           ,-95.3231
230      ,Vallejo         ,California          ,121913             ,38.1079°N 122.2640°W   ,CA          ,38.1079           ,-122.264
231      ,Ann Arbor       ,Michigan            ,121890             ,42.2761°N 83.7309°W    ,MI          ,42.2761           ,-83.7309
232      ,Berkeley        ,California          ,121643             ,37.8670°N 122.2991°W   ,CA          ,37.867            ,-122.2991
233      ,Allentown       ,Pennsylvania        ,121433             ,40.5936°N 75.4784°W    ,PA          ,40.5936           ,-75.4784
234      ,Richardson      ,Texas               ,120981             ,32.9723°N 96.7081°W    ,TX          ,32.9723           ,-96.7081
235      ,Odessa          ,Texas               ,120568             ,31.8838°N 102.3411°W   ,TX          ,31.8838           ,-102.3411
236      ,Arvada          ,Colorado            ,120492             ,39.8337°N 105.1503°W   ,CO          ,39.8337           ,-105.1503
237      ,Cambridge       ,Massachusetts       ,118977             ,42.3760°N 71.1187°W    ,MA          ,42.376000000000005,-71.1187
238      ,Sugar Land      ,Texas               ,118600             ,29.5994°N 95.6142°W    ,TX          ,29.5994           ,-95.6142
239      ,Beaumont        ,Texas               ,118428             ,30.0849°N 94.1453°W    ,TX          ,30.0849           ,-94.1453
240      ,Lansing         ,Michigan            ,118427             ,42.7143°N 84.5593°W    ,MI          ,42.7143           ,-84.5593
241      ,Evansville      ,Indiana             ,117963             ,37.9877°N 87.5347°W    ,IN          ,37.9877           ,-87.5347
242      ,Rochester       ,Minnesota           ,116961             ,44.0154°N 92.4772°W    ,MN          ,44.0154           ,-92.4772
243      ,Independence    ,Missouri            ,116925             ,39.0855°N 94.3521°W    ,MO          ,39.0855           ,-94.3521
244      ,Fairfield       ,California          ,116884             ,38.2593°N 122.0321°W   ,CA          ,38.2593           ,-122.0321
245      ,Provo           ,Utah                ,116702             ,40.2453°N 111.6448°W   ,UT          ,40.2453           ,-111.6448
246      ,Clearwater      ,Florida             ,116478             ,27.9789°N 82.7666°W    ,FL          ,27.9789           ,-82.7666
247      ,College Station ,Texas               ,116218             ,30.5852°N 96.2964°W    ,TX          ,30.5852           ,-96.2964
248      ,West Jordan     ,Utah                ,116046             ,40.6024°N 112.0008°W   ,UT          ,40.6024           ,-112.0008
249      ,Carlsbad        ,California          ,115877             ,33.1239°N 117.2828°W   ,CA          ,33.1239           ,-117.2828
250      ,El Monte        ,California          ,115586             ,34.0746°N 118.0291°W   ,CA          ,34.0746           ,-118.0291
251      ,Murrieta        ,California          ,114985             ,33.5721°N 117.1904°W   ,CA          ,33.5721           ,-117.1904
252      ,Temecula        ,California          ,114742             ,33.4931°N 117.1317°W   ,CA          ,33.4931           ,-117.1317
253      ,Springfield     ,Illinois            ,114694             ,39.7911°N 89.6446°W    ,IL          ,39.7911           ,-89.6446
254      ,Palm Bay        ,Florida             ,114194             ,27.9856°N 80.6626°W    ,FL          ,27.9856           ,-80.6626
255      ,Costa Mesa      ,California          ,113615             ,33.6659°N 117.9123°W   ,CA          ,33.6659           ,-117.9123
256      ,Westminster     ,Colorado            ,113479             ,39.8822°N 105.0644°W   ,CO          ,39.8822           ,-105.0644
257      ,North Charleston,South Carolina      ,113237             ,32.9178°N 80.0650°W    ,SC          ,32.9178           ,-80.065
258      ,Miami Gardens   ,Florida             ,113069             ,25.9489°N 80.2436°W    ,FL          ,25.9489           ,-80.2436
259      ,Manchester      ,New Hampshire       ,112525             ,42.9849°N 71.4441°W    ,NH          ,42.9849           ,-71.4441
260      ,High Point      ,North Carolina      ,112316             ,35.9900°N 79.9905°W    ,NC          ,35.99             ,-79.9905
261      ,Downey          ,California          ,112269             ,33.9382°N 118.1309°W   ,CA          ,33.9382           ,-118.1309
262      ,Clovis          ,California          ,112022             ,36.8282°N 119.6849°W   ,CA          ,36.8282           ,-119.6849
263      ,Pompano Beach   ,Florida             ,111954             ,26.2416°N 80.1339°W    ,FL          ,26.2416           ,-80.1339
264      ,Pueblo          ,Colorado            ,111750             ,38.2699°N 104.6123°W   ,CO          ,38.2699           ,-104.6123
265      ,Elgin           ,Illinois            ,111683             ,42.0396°N 88.3217°W    ,IL          ,42.0396           ,-88.3217
266      ,Lowell          ,Massachusetts       ,111670             ,42.6390°N 71.3211°W    ,MA          ,42.638999999999996,-71.3211
267      ,Antioch         ,California          ,111535             ,37.9791°N 121.7962°W   ,CA          ,37.9791           ,-121.7962
268      ,West Palm Beach ,Florida             ,111398             ,26.7464°N 80.1251°W    ,FL          ,26.7464           ,-80.1251
269      ,Peoria          ,Illinois            ,111388             ,40.7515°N 89.6174°W    ,IL          ,40.7515           ,-89.6174
270      ,Everett         ,Washington          ,111262             ,47.9566°N 122.1914°W   ,WA          ,47.9566           ,-122.1914
271      ,Ventura         ,California          ,111128             ,34.2678°N 119.2542°W   ,CA          ,34.2678           ,-119.2542
272      ,Centennial      ,Colorado            ,110831             ,39.5906°N 104.8691°W   ,CO          ,39.5906           ,-104.8691
273      ,Lakeland        ,Florida             ,110516             ,28.0555°N 81.9549°W    ,FL          ,28.0555           ,-81.9549
274      ,Gresham         ,Oregon              ,110158             ,45.5023°N 122.4416°W   ,OR          ,45.5023           ,-122.4416
275      ,Richmond        ,California          ,110146             ,37.9523°N 122.3606°W   ,CA          ,37.9523           ,-122.3606
276      ,Billings        ,Montana             ,109550             ,45.7885°N 108.5499°W   ,MT          ,45.7885           ,-108.5499
277      ,Inglewood       ,California          ,109419             ,33.9561°N 118.3443°W   ,CA          ,33.9561           ,-118.3443
278      ,Broken Arrow    ,Oklahoma            ,109171             ,36.0365°N 95.7810°W    ,OK          ,36.0365           ,-95.781
279      ,Sandy Springs   ,Georgia             ,108797             ,33.9315°N 84.3687°W    ,GA          ,33.9315           ,-84.3687
280      ,Jurupa Valley   ,California          ,108393             ,34.0026°N 117.4676°W   ,CA          ,34.0026           ,-117.4676
281      ,Hillsboro       ,Oregon              ,108389             ,45.5280°N 122.9357°W   ,OR          ,45.528            ,-122.9357
282      ,Waterbury       ,Connecticut         ,108093             ,41.5585°N 73.0367°W    ,CT          ,41.5585           ,-73.0367
283      ,Santa Maria     ,California          ,107408             ,34.9332°N 120.4438°W   ,CA          ,34.9332           ,-120.4438
284      ,Boulder         ,Colorado            ,107353             ,40.0270°N 105.2519°W   ,CO          ,40.027            ,-105.2519
285      ,Greeley         ,Colorado            ,107348             ,40.4153°N 104.7697°W   ,CO          ,40.4153           ,-104.7697
286      ,Daly City       ,California          ,107008             ,37.7009°N 122.4650°W   ,CA          ,37.7009           ,-122.465
287      ,Meridian        ,Idaho               ,106804             ,43.6142°N 116.3989°W   ,ID          ,43.6142           ,-116.3989
288      ,Lewisville      ,Texas               ,106586             ,33.0466°N 96.9818°W    ,TX          ,33.0466           ,-96.9818
289      ,Davie           ,Florida             ,106558             ,26.0791°N 80.2850°W    ,FL          ,26.0791           ,-80.285
290      ,West Covina     ,California          ,106311             ,34.0559°N 117.9099°W   ,CA          ,34.0559           ,-117.9099
291      ,League City     ,Texas               ,106244             ,29.4901°N 95.1091°W    ,TX          ,29.4901           ,-95.1091
292      ,Tyler           ,Texas               ,105729             ,32.3173°N 95.3059°W    ,TX          ,32.3173           ,-95.3059
293      ,Norwalk         ,California          ,105120             ,33.9076°N 118.0835°W   ,CA          ,33.9076           ,-118.0835
294      ,San Mateo       ,California          ,105025             ,37.5603°N 122.3106°W   ,CA          ,37.5603           ,-122.3106
295      ,Green Bay       ,Wisconsin           ,104879             ,44.5207°N 87.9842°W    ,WI          ,44.5207           ,-87.9842
296      ,Wichita Falls   ,Texas               ,104576             ,33.9067°N 98.5259°W    ,TX          ,33.9067           ,-98.5259
297      ,Sparks          ,Nevada              ,104246             ,39.5544°N 119.7356°W   ,NV          ,39.5544           ,-119.7356
298      ,Lakewood        ,New Jersey          ,104157             ,40.0771°N 74.2004°W    ,NJ          ,40.0771           ,-74.2004
299      ,Burbank         ,California          ,103695             ,34.1901°N 118.3264°W   ,CA          ,34.1901           ,-118.3264
300      ,Rialto          ,California          ,103440             ,34.1118°N 117.3883°W   ,CA          ,34.1118           ,-117.3883
301      ,Allen           ,Texas               ,103383             ,33.0997°N 96.6631°W    ,TX          ,33.0997           ,-96.6631
302      ,El Cajon        ,California          ,103241             ,32.8017°N 116.9604°W   ,CA          ,32.8017           ,-116.9604
303      ,Las Cruces      ,New Mexico          ,102926             ,32.3264°N 106.7897°W   ,NM          ,32.3264           ,-106.7897
304      ,Renton          ,Washington          ,102153             ,47.4761°N 122.1920°W   ,WA          ,47.4761           ,-122.19200000000001
305      ,Davenport       ,Iowa                ,102085             ,41.5541°N 90.6040°W    ,IA          ,41.5541           ,-90.604
306      ,South Bend      ,Indiana             ,101860             ,41.6769°N 86.2690°W    ,IN          ,41.6769           ,-86.26899999999999
307      ,Vista           ,California          ,101224             ,33.1895°N 117.2386°W   ,CA          ,33.1895           ,-117.2386
308      ,Tuscaloosa      ,Alabama             ,101113             ,33.2065°N 87.5346°W    ,AL          ,33.2065           ,-87.5346
309      ,Clinton         ,Michigan            ,100800             ,42.5903°N 82.9170°W    ,MI          ,42.5903           ,-82.917
310      ,Edison          ,New Jersey          ,100693             ,40.5040°N 74.3494°W    ,NJ          ,40.504            ,-74.3494
311      ,Woodbridge      ,New Jersey          ,100450             ,40.5607°N 74.2927°W    ,NJ          ,40.5607           ,-74.2927
312      ,San Angelo      ,Texas               ,100215             ,31.4411°N 100.4505°W   ,TX          ,31.4411           ,-100.4505
313      ,Kenosha         ,Wisconsin           ,100164             ,42.5822°N 87.8456°W    ,WI          ,42.5822           ,-87.8456
314      ,Vacaville       ,California          ,100154             ,38.3539°N 121.9728°W   ,CA          ,38.3539           ,-121.9728
